beacon_id,zone_name,zone_status,zone_id,station_id,clock,sub_station_id,direction,height_inches,pole_type,power_feed,mount_location,power_source,atd_location_id,created_date,created_by,modified_date,modified_by,am_start,am_end,pm_start,pm_end,pm_start_2,pm_end_2,location_name,location,latitude,longitude,unit_address,Source DB ID
7306-283-01,ST IGNATIUS,Active,7306,283,FALSE,1,WB,84,4_IN,,,AC,LOC17-009475,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492095600,1492099200,,,BLK,"(30.23914749, -97.75398027)",30.23914749,-97.75398027,,
7527-326-00,COWAN,Active,7527,326,TRUE,0,SB,80,4_IN,,,SOLAR,LOC17-009135,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492070400,1492093800,1492097400,,,8900 BLK CURLEW DR,"(30.18838101, -97.82922046)",30.18838101,-97.82922046,,
7312-202-01,LANGFORD,Active,7312,202,FALSE,1,EB,107,2_IN,UG,,AC,LOC17-009530,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,2006 BLK BLUE MEADOW DR,"(30.18181487, -97.76482576)",30.18181487,-97.76482576,,
9608-262-00,DITTMAR REC CENTER,Active,9608,262,TRUE,0,EB,,,,,AC,LOC17-009865,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492099200,,,1009 BLK W DITTMAR RD,"(30.18561269, -97.80281096)",30.18561269,-97.80281096,,
7203-107-01,WINN,Active,7203,107,FALSE,1,,,,,,AC,LOC17-009240,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,6800 BLK MANOR RD,"(30.31202404, -97.66561759)",30.31202404,-97.66561759,,
7435-296-00,MCNEIL,Active,7435,296,TRUE,0,WB,,,,,AC,LOC17-008765,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492072200,1492075200,1492098600,1492102200,,,5500 BLK MC NEIL DR,"(30.44793178, -97.72970301)",30.44793178,-97.72970301,,
7313-284-00,PLEASANT HILL,Active,7313,284,TRUE,0,WB,97,4_IN,OH,,AC,LOC17-007990,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492070400,1492093800,1492097400,,,200 BLK NORTH BLUFF DR,"(30.19706204, -97.77379303)",30.19706204,-97.77379303,,
7505-298-00,WESTLAKE,Active,7505,298,TRUE,0,NB,103,4_IN,UG,,AC,LOC17-009100,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492066800,1492074000,1492082100,1492090200,1492095300,1492102500,600 BLK CAMP CRAFT RD,"(30.27695108, -97.81698065)",30.27695108,-97.81698065,,
7222-116-00,PECAN SPRINGS,Active,7222,116,TRUE,0,SB,,,,SP,AC,LOC17-007720,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492093800,1492100100,,,6400 BLK SPRINGDALE RD,"(30.30778937, -97.66952445)",30.30778937,-97.66952445,,
7212-094-00,DOBIE,Active,7212,94,TRUE,0,WB,,,OH,,AC,LOC17-007520,4/13/17 19:00,John Clary,4/13/17 19:00,John Clary,1492065900,1492072200,1492090200,1492101000,,,1332 BLK E RUNDBERG LN,"(30.35233517, -97.67835721)",30.35233517,-97.67835721,,
